line_number,citation_keys,context_line
114,sydow2009organizational,"We distinguish two forms of lock-in: \textit{cognitive lock-in} (examinations become ""taken for granted"" as the only fair method) and \textit{institutional lock-in} (examinations become embedded in complementary institutions like labour markets and welfare systems) \citep{sydow2009organizational}."
138,tang2018prevalence;wang2020sleep;sun2015educational,"\textbf{(ii) Secondary Empirical Evidence.} We draw on high-quality peer-reviewed studies on: student mental health and academic stress \citep{tang2018prevalence, wang2020sleep, sun2015educational}; shadow education markets \citep{bray2009confronting, zhang2017shadow, liu2016shadow}; public perceptions of fairness \citep{liu2016meritocracy}; and reform implementation \citep{zhao2014china, feng2014quality}."
138,bray2009confronting;zhang2017shadow;liu2016shadow,"\textbf{(ii) Secondary Empirical Evidence.} We draw on high-quality peer-reviewed studies on: student mental health and academic stress \citep{tang2018prevalence, wang2020sleep, sun2015educational}; shadow education markets \citep{bray2009confronting, zhang2017shadow, liu2016shadow}; public perceptions of fairness \citep{liu2016meritocracy}; and reform implementation \citep{zhao2014china, feng2014quality}."
138,liu2016meritocracy,"\textbf{(ii) Secondary Empirical Evidence.} We draw on high-quality peer-reviewed studies on: student mental health and academic stress \citep{tang2018prevalence, wang2020sleep, sun2015educational}; shadow education markets \citep{bray2009confronting, zhang2017shadow, liu2016shadow}; public perceptions of fairness \citep{liu2016meritocracy}; and reform implementation \citep{zhao2014china, feng2014quality}."
138,zhao2014china;feng2014quality,"\textbf{(ii) Secondary Empirical Evidence.} We draw on high-quality peer-reviewed studies on: student mental health and academic stress \citep{tang2018prevalence, wang2020sleep, sun2015educational}; shadow education markets \citep{bray2009confronting, zhang2017shadow, liu2016shadow}; public perceptions of fairness \citep{liu2016meritocracy}; and reform implementation \citep{zhao2014china, feng2014quality}."
168,jessop2004cultural,"China's exam-based selection is not merely an assessment method but a \textit{governance regime}—a stable configuration of institutions, discourses, and practices that co-evolve to produce particular outcomes \citep{jessop2004cultural}. The regime is defined by: (1) a single high-stakes gatekeeping mechanism (the \textit{gaokao}); (2) a cascade of preparatory examinations (\textit{zhongkao}, district tests); (3) a massive complementary shadow education sector; (4) a labor market screening by university tier; and (5) a dominant cultural narrative of meritocratic fairness."
170,tang2018prevalence;wang2020sleep,"This regime produces persistent negative externalities: endemic mental health problems among students \citep{tang2018prevalence, wang2020sleep}, educational inequality masked by procedural fairness \citep{liu2016shadow}, and an ""arms race"" dynamic where increasing collective effort yields zero-sum positional gains \citep{bray2009confronting}. Yet it persists because semiosis and structuration mutually reinforce each other. The cultural imaginary of fairness legitimates the structural arrangements; the structural arrangements (credentialism, shadow markets) make alternatives seem impractical, further entrenching the imaginary."
170,liu2016shadow,"This regime produces persistent negative externalities: endemic mental health problems among students \citep{tang2018prevalence, wang2020sleep}, educational inequality masked by procedural fairness \citep{liu2016shadow}, and an ""arms race"" dynamic where increasing collective effort yields zero-sum positional gains \citep{bray2009confronting}. Yet it persists because semiosis and structuration mutually reinforce each other. The cultural imaginary of fairness legitimates the structural arrangements; the structural arrangements (credentialism, shadow markets) make alternatives seem impractical, further entrenching the imaginary."
170,bray2009confronting,"This regime produces persistent negative externalities: endemic mental health problems among students \citep{tang2018prevalence, wang2020sleep}, educational inequality masked by procedural fairness \citep{liu2016shadow}, and an ""arms race"" dynamic where increasing collective effort yields zero-sum positional gains \citep{bray2009confronting}. Yet it persists because semiosis and structuration mutually reinforce each other. The cultural imaginary of fairness legitimates the structural arrangements; the structural arrangements (credentialism, shadow markets) make alternatives seem impractical, further entrenching the imaginary."
178,kipnis2011governing,"\textbf{Semiotic Layer.} The dominant narrative frames the \textit{gaokao} as the ""most fair"" selection mechanism in a low-trust society. This imaginary draws on the imperial examination legacy (\textit{keju}), which associated examinations with opportunity regardless of birth \citep{kipnis2011governing}. Key discursive markers include: ""scores cannot be faked,"" ""everyone takes the same test,"" and ""only ability matters."""
180,liu2016meritocracy,"\textbf{Structural Layer.} Alternative assessment methods (portfolios, interviews, comprehensive evaluation) are structurally disadvantaged. They require infrastructure (trained evaluators, standardized rubrics) that does not exist; they are vulnerable to corruption in low-trust contexts; they threaten vested interests (tutoring industry) that frame opposition as ""protecting fairness."" \citet{liu2016meritocracy} find that even disadvantaged families prefer examinations over alternatives they perceive as manipulable by elites."
188,bray2009confronting,"\textbf{Semiotic Layer.} The shadow education industry frames itself as providing ""equal opportunity through effort""—families who work harder and invest more can catch up. This narrative reinforces meritocracy while obscuring how investment capacity correlates with wealth \citep{bray2009confronting}."
190,zhang2017shadow;xue2020private,"\textbf{Structural Layer.} Various estimates describe a sizeable shadow-education market, though figures vary by definition and coverage. What matters for our argument is that the market is large enough to create durable vested interests and adaptive capacity \citep{zhang2017shadow, xue2020private}. Industry representatives argued that comprehensive evaluation ""would advantage wealthy families who can fabricate portfolios""—ironically, the industry whose existence advantages wealthy families positioned itself as defender of fairness."
192,bray2009confronting,"Shadow education converts economic capital into educational advantage \textit{invisibly}. When admission depends solely on test scores, the process appears procedurally fair; the role of purchased preparation remains hidden behind numerical results. This creates ""plausible deniability"" for inequality \citep{bray2009confronting}."
200,kipnis2011governing,"\textbf{Semiotic Layer.} The \textit{gaokao} is framed as a symbol of meritocratic governance and state capacity. Results from selected Chinese participating regions in international assessments have been mobilized as a legitimacy narrative, reinforcing confidence in exam-centred governance. Government reports emphasize how many rural students gained university access, framing the system as delivering social justice \citep{kipnis2011governing}."
202,davey2007chinese,"\textbf{Structural Layer.} The examination system is embedded in governance infrastructure: household registration (\textit{hukou}) restricts where students can test; university quotas vary by province for political reasons; key universities favor local students, creating political rewards for urban residents \citep{davey2007chinese}. Political incentives for officials tend to favour measurable stability and short-term performance over risky transformation. This creates systematic bias toward the status quo."
210,sun2015educational,"\textbf{Semiotic Layer.} Intensive academic pressure has become normalized as ""good parenting."" Parents describe feeling controlled by rather than controlling the system: ""I know this pressure is harmful, but what choice do I have?"" \citep{sun2015educational}. Social judgment reinforces participation: families who resist face accusations of ""not caring about the child's future."""
212,bray2009confronting,"\textbf{Structural Layer.} Families face a collective action trap \citep{bray2009confronting}. If only one family reduces pressure while others continue, that family's child falls behind in relative rankings. Coordinated reduction is impossible without enforceable commitment. Anxiety spreads through social networks: when neighbors' children attend tutoring, other families feel pressure to follow."
214,sun2015educational,"The one-child policy (1979-2015) intensified this dynamic by concentrating family aspirations on a single child. Limited social safety nets mean families bear full risk of educational ""failure."" Rapid economic change creates status anxiety—fear that children will fall behind in competitive labor markets \citep{sun2015educational}."
244,feng2014quality,"The \textit{suzhi jiaoyu} reforms of the 1990s aimed to shift from examination-oriented to holistic education \citep{feng2014quality}. However, the reforms were \textit{converted}: arts, sports, and extracurriculars—meant to broaden education—became new competitive dimensions evaluated for university admission. Schools added ""quality education"" classes while maintaining examination focus, effectively increasing rather than reducing student burden \citep{zhao2014china}. The reform's original intent was redirected to serve exam logic."
244,zhao2014china,"The \textit{suzhi jiaoyu} reforms of the 1990s aimed to shift from examination-oriented to holistic education \citep{feng2014quality}. However, the reforms were \textit{converted}: arts, sports, and extracurriculars—meant to broaden education—became new competitive dimensions evaluated for university admission. Schools added ""quality education"" classes while maintaining examination focus, effectively increasing rather than reducing student burden \citep{zhao2014china}. The reform's original intent was redirected to serve exam logic."
248,zhao2014china,"Multiple burden reduction campaigns attempted to limit homework and school hours \citep{zhao2014china}. These triggered \textit{circumvention}: when schools reduced homework, parents increased private tutoring; when public schools shortened hours, shadow education expanded to fill the gap \citep{zhang2017shadow}. Academic burden shifted from public to private sphere, exacerbating inequality as private alternatives require financial resources."
248,zhang2017shadow,"Multiple burden reduction campaigns attempted to limit homework and school hours \citep{zhao2014china}. These triggered \textit{circumvention}: when schools reduced homework, parents increased private tutoring; when public schools shortened hours, shadow education expanded to fill the gap \citep{zhang2017shadow}. Academic burden shifted from public to private sphere, exacerbating inequality as private alternatives require financial resources."
252,yu2021double,"The 2021 Double Reduction policy severely restricted the tutoring industry \citep{yu2021double}. Initial implementation appeared successful—major tutoring companies collapsed. However, adaptation mechanisms emerged: wealthy families hired tutors privately through informal networks; middle-class families lost access; spending relocated to unregulated domains (coding camps, educational travel); parental anxiety actually \textit{increased} as predictable equilibrium was disrupted \citep{xue2020private}. The policy was \textit{absorbed}: competition persisted through new channels beyond regulatory reach."
252,xue2020private,"The 2021 Double Reduction policy severely restricted the tutoring industry \citep{yu2021double}. Initial implementation appeared successful—major tutoring companies collapsed. However, adaptation mechanisms emerged: wealthy families hired tutors privately through informal networks; middle-class families lost access; spending relocated to unregulated domains (coding camps, educational travel); parental anxiety actually \textit{increased} as predictable equilibrium was disrupted \citep{xue2020private}. The policy was \textit{absorbed}: competition persisted through new channels beyond regulatory reach."
272,mahoney2010explaining,"An alternative strategy is \textit{layering}—introducing new institutional elements alongside (not instead of) existing ones \citep{mahoney2010explaining}. Layering does not directly threaten vested interests or trigger defensive reactions. Over time, new layers may grow in importance, gradually shifting the institutional balance without the disruption of replacement."
