key,entry_type,author,year,title,journal,booktitle,publisher,volume,number,pages,doi,url
sun2015educational,article,"Sun, Jiandong and Dunne, Michael P. and Hou, Xiao-yan and Xu, AQ",2015,"Educational stress among Chinese adolescents: Individual, family, school and peer influences",Educational Review,,,67,1,37--52,,
zhang2019academic,article,"Zhang, Yang and Dong, Shuting and Fang, Wenju and Chai, Xiaoyun and Mei, Jiaojiao and Fan, Xiaomin",2019,"Academic stress, academic procrastination, and academic performance: A moderated dual-mediation model",Journal of School Psychology,,,74,,55--65,,
wang2020sleep,article,"Li, Dongping and Bao, Zhenzhou and Li, Xian and Wang, Yanhui",2016,Perceived school climate and Chinese adolescents' suicidal ideation and suicide attempts: The mediating role of sleep quality,Journal of School Health,,,86,2,75--83,10.1111/josh.12354,
kipnis2011governing,book,"Kipnis, Andrew B.",2011,"Governing Educational Desire: Culture, Politics, and Schooling in China",,,University of Chicago Press,,,,,
liu2016meritocracy,article,"Liu, Ye",2016,Meritocracy and the Gaokao: A survey study of higher education selection and socio-economic participation in East China,British Journal of Sociology of Education,,,37,1,5--26,,
davey2007chinese,article,"Davey, Gareth and De Lian, Cheng and Higgins, Louise",2007,The Chinese context of higher education: Assessing past reforms and future trends,China Review,,,7,1,1--24,,
woronov2016class,book,"Woronov, T. E.",2016,Class Work: Vocational Schools and China's Urban Youth,,,Stanford University Press,,,,,
zhang2017shadow,article,"Zhang, Wei and Bray, Mark",2017,Shadow education in China: The effectiveness of private supplementary tutoring in the junior secondary years,Asia Pacific Education Review,,,18,3,419--433,,
liu2016shadow,article,"Liu, Jing and Bray, Mark",2017,Shadow education and social inequality: Evidence from China,Comparative Education,,,53,4,443--459,,
bray2009confronting,book,"Bray, Mark",2009,Confronting the Shadow Education System: What Government Policies for What Private Tutoring?,,,UNESCO International Institute for Educational Planning,,,,,
xue2020private,article,"Xue, Haiping and Ding, Xiaohao",2020,"Private supplementary tutoring in contemporary China: Voice, choice and autonomy",Compare: A Journal of Comparative and International Education,,,50,4,555--570,,
zhao2014china,article,"Zhao, Litao and Zhao, Yong",2014,China's education reform and the continuing failure of quality education,Journal of Educational Change,,,15,1,96--105,,
feng2014quality,article,"Feng, Danan",2014,Quality education policy in China and its impacts on curriculum reform,Asia Pacific Journal of Education,,,34,1,36--49,,
chu2016double,article,"Xue, Xia and Makela, Chelsea",2024,Double reduction educational policy: Impacts on grades 1--9 compulsory education in China,International Journal of Chinese Education,,,13,2,2212585X241270236,10.1177/2212585X241270236,
yu2021double,article,"Yu, Hongyan and Xu, Tianchen",2021,"The ""Double Reduction"" policy: Implications for shadow education and educational inequality in China",Chinese Education \& Society,,,54,3-4,115--130,,
sahlberg2015finnish,book,"Sahlberg, Pasi",2015,Finnish Lessons 2.0: What Can the World Learn from Educational Change in Finland?,,,Teachers College Press,,,,,
finnish2016national,misc,Finnish National Agency for Education,2016,New national core curriculum for basic education: Focus on school culture and integrative approach,,,,,,,,https://www.oph.fi/en/statistics-and-publications/publications/new-national-core-curriculum-basic-education-focus-school
halinen2018finnish,article,"Halinen, Irmeli",2018,The new educational curriculum in Finland,Improving the Quality of Childhood in Europe,,,7,,75--89,,
silander2018phenomenon,article,"Schaffar, Birgit and Wolff, Lili-Ann",2024,Phenomenon-based learning in Finland: A critical overview of its historical and philosophical roots,Cogent Education,,,11,1,2309733,10.1080/2331186X.2024.2309733,
lonka2018phenomenal,book,"Lonka, Kirsti",2018,Phenomenal Learning from Finland,,,Edita Publishing,,,,,
niemi2012miracle,incollection,"Niemi, Hannele",2012,The Societal Factors Contributing to Education and Schooling in Finland,,Miracle of Education: The Principles and Practices of Teaching and Learning in Finnish Schools,Sense Publishers,,,23--40,10.1007/978-94-6091-811-7_2,
toom2010teachers,article,"Toom, Auli and Kyn{\""a}slahti, Heikki and Krokfors, Leena and Jyrh{\""a}m{\""a}, Riitta and Byman, Reijo and Stenberg, Katariina and Maaranen, Katriina and Kansanen, Pertti",2010,Experiences of a Research-based Approach to Teacher Education: Suggestions for future policies,"European Journal of Education: Research, Development and Policy",,,45,2,331--344,10.1111/j.1465-3435.2010.01432.x,
kim2016shadow,article,"Kim, Young Chun and Jung, Jae Ho",2016,Shadow education and the curriculum and culture of schooling in South Korea,Comparative Education,,,52,2,161--180,,
park2016student,article,"Park, Hyunjoon and Byun, Soo-yong and Kim, Kyung-keun",2016,Student well-being and academic achievement in East Asian education systems,Comparative Education Review,,,60,3,422--449,,
lee2013shadow,article,"Lee, Jong-Tae and Kim, Young-Bae and Yoon, Cho-Hee",2013,Shadow education systems,Asia Pacific Education Review,,,14,1,45--56,,
oecd2014pisa,book,OECD,2014,"PISA 2012 Results: What Students Know and Can Do (Volume I, Revised edition)",,,OECD Publishing,,,,,
steiner2010educational,book,"Steiner-Khamsi, Gita and Stolpe, Ines",2006,Educational Import: Local Encounters with Global Forces in Mongolia,,,Palgrave Macmillan,,,,10.1057/9781403982971,
phillips2004borrowing,book,"Phillips, David and Ochs, Kimberly",2004,Borrowing Educational Policy,,,Symposium Books,,,,,
waldow2012standardisation,article,"Waldow, Florian",2012,Standardisation and legitimacy: Two central concepts in research on educational borrowing and lending,Policy Futures in Education,,,10,5,549--559,,
sellar2011catalyst,article,"Sellar, Sam and Lingard, Bob",2013,Catalyst data: Perverse systemic effects of audit and accountability in Australian schooling,Journal of Education Policy,,,28,5,634--656,,
anderson2012design,article,"Anderson, Terry and Shattuck, Julie",2012,Design-based research: A decade of progress in education research?,Educational Researcher,,,41,1,16--25,,
mckenney2012educational,book,"McKenney, Susan and Reeves, Thomas C.",2012,Educational Design Research,,,Routledge,,,,,
barab2004design,article,"Barab, Sasha and Squire, Kurt",2004,Design-based research: Putting a stake in the ground,The Journal of the Learning Sciences,,,13,1,1--14,,
black1998assessment,article,"Black, Paul and Wiliam, Dylan",1998,Assessment and classroom learning,"Assessment in Education: Principles, Policy \& Practice",,,5,1,7--74,,
shepard2000role,article,"Shepard, Lorrie A.",2000,The role of assessment in a learning culture,Educational Researcher,,,29,7,4--14,10.3102/0013189X029007004,
harlen2007assessment,book,"Harlen, Wynne",2007,Assessment of Learning,,,SAGE Publications,,,,10.4135/9781446214695,
pollard2018dimensions,article,"Pollard, Elizabeth L. and Lee, Patrice D.",2003,Child well-being: A systematic review of the literature,Social Indicators Research,,,61,1,59--78,10.1023/A:1021284215801,
suldo2011understanding,article,"Suldo, Shannon M. and Thalji, Alayna and Ferron, John",2011,Understanding middle school students' life satisfaction: Does school climate matter?,Applied Research in Quality of Life,,,6,1,31--48,,
noddings2003happiness,book,"Noddings, Nel",2003,Happiness and Education,,,Cambridge University Press,,,,,
pearson2003teacher,article,"Pearson, L. Carolyn and Moomaw, William",2005,"The relationship between teacher autonomy and stress, work satisfaction, empowerment, and professionalism",Educational Research Quarterly,,,29,1,38--54,,
vangrieken2015teacher,article,"Vangrieken, Katrien and Dochy, Filip and Raes, Elisabeth and Kyndt, Eva",2015,Teacher collaboration: A systematic review,Educational Research Review,,,15,,17--40,,
scott2014institutions,book,"Scott, W. Richard",2014,"Institutions and Organizations: Ideas, Interests, and Identities",,,Sage Publications,,,,,
streeck2005beyond,book,,2005,Beyond Continuity: Institutional Change in Advanced Political Economies,,,Oxford University Press,,,,10.1093/oso/9780199280452.001.0001,
bray2014comparative,book,"Bray, Mark and Adamson, Bob and Mason, Mark",2014,Comparative Education Research: Approaches and Methods,,,Springer,,,,,
takayama2008politics,article,"Takayama, Keita",2008,The politics of international league tables: PISA in Japan's achievement crisis debate,Comparative Education,,,44,4,387--407,,
